"","Platform","Year","Genre","Sales"
"1","Wii","2006","Sports",82.53
"2","NES","1980-1994","Platform",40.24
"3","Wii","2008","Racing",35.52
"4","Wii","2009","Sports",32.77
"5","GB","1996","Role-Playing",31.37
"6","GB","1980-1994","Puzzle",30.26
"7","DS","2006","Platform",29.8
"8","Wii","2006","Misc",28.92
"9","Wii","2009","Platform",28.32
"10","NES","1980-1994","Shooter",28.31
"11","DS","2005","Simulation",24.67
"12","DS","2005","Racing",23.21
"13","GB","1999","Role-Playing",23.1
"14","Wii","2007","Sports",22.7
"15","X360","2010","Misc",21.81
"16","Wii","2009","Sports",21.79
"17","PS3","2013","Action",21.04
"18","PS2","2004","Action",20.81
"19","SNES","1980-1994","Platform",20.61
"20","DS","2005","Misc",20.15
"21","DS","2006","Role-Playing",18.25
"22","GB","1980-1994","Platform",18.14
"23","NES","1980-1994","Platform",17.28
"24","X360","2013","Action",16.27
"25","PS2","2002","Action",16.15
"26","GBA","2002","Role-Playing",15.85
"27","DS","2005","Puzzle",15.29
"28","DS","2010","Role-Playing",15.14
"29","PS2","2001","Racing",14.98
"30","X360","2011","Shooter",14.73
"31","GB","1998","Role-Playing",14.64
"32","PS4","2015","Shooter",14.63
"33","X360","2010","Shooter",14.61
"34","3DS","2013","Role-Playing",14.6
"35","PS3","2012","Shooter",13.79
"36","X360","2012","Shooter",13.67
"37","X360","2009","Shooter",13.47
"38","PS3","2011","Shooter",13.32
"39","PS2","2001","Action",13.1
"40","Wii","2008","Fighting",12.84
"41","3DS","2011","Racing",12.66
"42","PS3","2010","Shooter",12.63
"43","PS4","2014","Action",12.61
"44","DS","2005","Simulation",12.13
"45","X360","2007","Shooter",12.12
"46","N64","1996","Platform",11.89
"47","DS","2009","Action",11.77
"48","3DS","2014","Role-Playing",11.68
"49","PS2","2004","Racing",11.66
"50","Wii","2007","Platform",11.35
"51","GB","1980-1994","Adventure",11.18
"52","X360","2008","Action",11.01
"53","PS","1997","Racing",10.95
"54","3DS","2011","Platform",10.81
"55","PS3","2010","Racing",10.7
"56","PS3","2009","Shooter",10.6
"57","SNES","1980-1994","Platform",10.55
"58","PS3","2008","Action",10.5
"59","GBA","2004","Role-Playing",10.49
"60","DS","2004","Platform",10.3
"61","X360","2013","Shooter",10.25
"62","Wii","2011","Misc",10.12
"63","3DS","2012","Platform",9.9
"64","N64","1996","Racing",9.87
"65","X360","2010","Shooter",9.86
"66","PS","1997","Role-Playing",9.72
"67","X360","2012","Shooter",9.71
"68","PS","1999","Racing",9.49
"69","Wii","2010","Misc",9.44
"70","PS3","2013","Shooter",9.36
"71","X360","2007","Shooter",9.31
"72","SNES","1980-1994","Platform",9.3
"73","X360","2013","Misc",9.18
"74","3DS","2012","Simulation",9.16
"75","DS","2007","Misc",8.91
"76","X360","2011","Role-Playing",8.79
"77","SNES","1980-1994","Racing",8.76
"78","PS4","2015","Sports",8.57
"79","XB","2004","Shooter",8.49
"80","Wii","2010","Misc",8.38
"81","Wii","2007","Misc",8.27
"82","PS3","2012","Action",8.16
"83","N64","1997","Shooter",8.09
"84","DS","2012","Role-Playing",8.07
"85","PS2","2001","Role-Playing",8.05
"86","PC","2009","Simulation",8.01
"87","Wii","2007","Sports",7.99
"88","PS4","2015","Shooter",7.98
"89","PS","1999","Role-Playing",7.86
"90","2600","1980-1994","Puzzle",7.81
"91","DS","2008","Role-Playing",7.72
"92","PSP","2005","Action",7.69
"93","PS4","2014","Shooter",7.66
"94","N64","1998","Action",7.6
"95","PS4","2016","Sports",7.59
"96","PS","1997","Platform",7.58
"97","3DS","2014","Fighting",7.55
"98","Wii","2010","Platform",7.51
"99","NES","1980-1994","Platform",7.46
"100","XOne","2015","Shooter",7.39
"101","X360","2008","Shooter",7.38
"102","X360","2011","Shooter",7.32
"103","PS2","2003","Racing",7.2
"104","Wii","2009","Misc",7.2
"105","PS3","2011","Shooter",7.17
"106","PS4","2015","Role-Playing",7.16
"107","PS","1998","Fighting",7.16
"108","Wii","2006","Action",7.15
"109","3DS","2016","Role-Playing",7.14
"110","PS","1998","Platform",7.13
"111","WiiU","2014","Racing",7.09
"112","GC","2001","Fighting",7.07
"113","GC","2003","Racing",6.95
"114","PS2","2004","Racing",6.9
"115","PS2","2002","Shooter",6.83
"116","PS","1996","Platform",6.82
"117","Wii","2012","Misc",6.76
"118","X360","2008","Shooter",6.75
"119","PS3","2011","Action",6.74
"120","Wii","2010","Sports",6.71
"121","PS3","2007","Shooter",6.68
"122","PS3","2009","Action",6.66
"123","PS3","2011","Sports",6.65
"124","DS","2005","Misc",6.62
"125","NES","1980-1994","Action",6.51
"126","PS3","2010","Action",6.49
"127","PS3","2013","Sports",6.47
"128","PS3","2012","Action",6.45
"129","Wii","2010","Platform",6.44
"130","XB","2001","Shooter",6.43
"131","PS3","2011","Role-Playing",6.41
"132","GBA","2004","Role-Playing",6.41
"133","PS2","2002","Role-Playing",6.4
"134","GB","2000","Role-Playing",6.39
"135","X360","2009","Shooter",6.34
"136","X360","2010","Action",6.32
"137","GC","2002","Platform",6.31
"138","SNES","1980-1994","Fighting",6.3
"139","PC","2004","Role-Playing",6.29
"140","PS","1999","Action",6.27
"141","X360","2011","Shooter",6.21
"142","X360","2010","Sports",6.19
"143","X360","2006","Shooter",6.09
"144","PS4","2014","Sports",6.08
"145","PS2","2001","Action",6.05
"146","GEN","1980-1994","Platform",6.03
"147","PS","1998","Action",6.03
"148","PS3","2008","Action",5.99
"149","PS2","2006","Role-Playing",5.95
"150","PS3","2013","Action",5.87
"151","PS3","2008","Platform",5.82
"152","PS","1998","Action",5.82
"153","DS","2009","Role-Playing",5.78
"154","PS","1996","Fighting",5.74
"155","PS4","2014","Shooter",5.64
"156","Wii","2007","Action",5.64
"157","DS","2006","Simulation",5.63
"158","NES","1980-1994","Puzzle",5.58
"159","N64","1999","Fighting",5.55
"160","PS3","2009","Action",5.55
"161","X360","2007","Adventure",5.54
"162","X360","2009","Racing",5.49
"163","GBA","2001","Platform",5.49
"164","PSP","2008","Role-Playing",5.48
"165","PS3","2011","Action",5.48
"166","XOne","2014","Action",5.48
"167","GBA","2001","Racing",5.47
"168","GBA","2001","Platform",5.46
"169","N64","1999","Strategy",5.45
"170","PS2","2001","Platform",5.42
"171","PS3","2008","Shooter",5.39
"172","PS4","2016","Shooter",5.38
"173","GB","1980-1994","Puzzle",5.34
"174","PS3","2009","Role-Playing",5.33
"175","GB","1999","Misc",5.31
"176","PS","2000","Role-Playing",5.3
"177","X360","2012","Action",5.29
"178","PS2","2003","Role-Playing",5.29
"179","N64","1999","Platform",5.27
"180","XOne","2014","Shooter",5.27
"181","PS3","2014","Misc",5.26
"182","X360","2009","Action",5.26
"183","PS","1997","Action",5.24
"185","3DS","2013","Simulation",5.23
"186","WiiU","2012","Platform",5.22
"187","PS2","2004","Role-Playing",5.21
"188","GBA","2003","Platform",5.2
"189","DS","2007","Puzzle",5.19
"190","GB","1980-1994","Platform",5.19
"191","X360","2012","Action",5.16
"192","SNES","1995","Platform",5.15
"193","PC","2012","Role-Playing",5.14
"194","PS2","2003","Shooter",5.13
"195","GB","1980-1994","Platform",5.13
"196","PC","1996","Simulation",5.12
"197","PS2","2006","Misc",5.12
"198","X360","2010","Role-Playing",5.1
"199","DS","2008","Sports",5.09
"200","PS3","2009","Action",5.09
"201","DS","2007","Action",5.08
"202","GB","1999","Platform",5.07
"203","PS3","2010","Sports",5.07
"204","PS","1996","Action",5.05
"205","PSP","2006","Action",5.03
"206","PS","1999","Sports",5.02
"207","PS","1999","Strategy",5.01
"208","PS","1998","Platform",5
"209","PS2","2007","Misc",4.98
"210","Wii","2007","Shooter",4.98
"211","DS","2007","Role-Playing",4.93
"212","X360","2008","Role-Playing",4.93
"213","PS3","2007","Action",4.92
"214","PS2","2005","Sports",4.91
"215","N64","1997","Racing",4.88
"216","PSP","2010","Role-Playing",4.87
"217","WiiU","2014","Fighting",4.87
"218","NES","1980-1994","Puzzle",4.85
"219","PC","2010","Strategy",4.84
"220","PS3","2007","Adventure",4.82
"221","PS3","2010","Action",4.8
"222","PS","1999","Racing",4.79
"223","DS","2007","Action",4.76
"224","PS","2000","Action",4.73
"225","X360","2011","Action",4.73
"226","PS4","2014","Action",4.71
"227","PS2","2003","Racing",4.7
"228","PS","2000","Sports",4.68
"229","PS2","2002","Action",4.67
"230","PS","1996","Action",4.63
"231","Wii","2008","Simulation",4.62
"232","PS4","2015","Action",4.62
"233","SNES","1980-1994","Action",4.61
"234","GC","2002","Action",4.6
"235","Wii","2007","Misc",4.6
"236","3DS","2013","Action",4.59
"237","X360","2011","Racing",4.57
"238","Wii","2009","Sports",4.53
"239","PS2","2004","Sports",4.53
"240","X360","2007","Misc",4.53
"241","2600","1980-1994","Platform",4.5
"242","PS2","2006","Sports",4.49
"243","XOne","2015","Shooter",4.48
"244","PS2","2002","Action",4.48
"245","PS","2000","Role-Playing",4.47
"246","PS4","2016","Shooter",4.46
"247","PS2","2005","Action",4.45
"248","WiiU","2015","Shooter",4.43
"249","WiiU","2012","Misc",4.42
"250","PS2","2001","Sports",4.41
"251","PS2","2006","Sports",4.39
"252","X360","2006","Role-Playing",4.38
"253","NES","1980-1994","Adventure",4.38
"254","PS2","2005","Racing",4.37
"255","Wii","2010","Misc",4.36
"256","PS3","2014","Shooter",4.36
"257","PS3","2006","Shooter",4.34
"258","GEN","1980-1994","Platform",4.34
"259","PS2","2005","Role-Playing",4.33
"260","3DS","2011","Action",4.33
"261","WiiU","2013","Platform",4.32
"262","PS4","2014","Misc",4.32
"263","2600","1980-1994","Shooter",4.31
"264","X360","2014","Shooter",4.29
"265","PS3","2014","Sports",4.28
"266","X360","2008","Role-Playing",4.27
"267","GBA","2001","Misc",4.24
"268","PS3","2009","Action",4.23
"269","PS2","2004","Action",4.23
"270","PS3","2011","Action",4.22
"271","XOne","2015","Role-Playing",4.22
"272","X360","2013","Sports",4.22
"273","PSP","2006","Platform",4.21
"274","PC","1995","Strategy",4.21
"275","PS2","2005","Sports",4.21
"276","PS2","2003","Misc",4.2
"277","PS3","2007","Racing",4.19
"278","X360","2011","Action",4.19
"279","X360","2011","Sports",4.18
"280","NES","1980-1994","Action",4.17
"281","PS3","2009","Fighting",4.16
"282","NES","1980-1994","Racing",4.16
"283","PS","1997","Action",4.16
"284","PS2","2002","Sports",4.14
"285","PC","1997","Shooter",4.12
"286","SNES","1995","Platform",4.12
"287","PS2","2006","Sports",4.11
"288","SNES","1980-1994","Fighting",4.1
"289","PC","2007","Role-Playing",4.09
"290","PS4","2016","Shooter",4.08
"291","PS2","2007","Action",4.07
