"","Year","Device","Action","Adventure","Fighting","Misc","Platform","Puzzle","Racing","Role-Playing","Shooter","Simulation","Sports","Strategy","Sales"
"1","1980-1994","2600",26.39,0.4,0.77,3.58,13.27,13.65,2.32,0,22.97,0.45,2.77,0,86.57
"2","1980-1994","3DO",0,0,0,0,0,0.02,0,0,0,0,0,0,0.02
"3","1980-1994","DS",0.02,0,0,0,0,0,0,0,0,0,0,0,0.02
"4","1980-1994","GB",3.89,12.94,0,3.47,37.43,42.57,4.55,2.24,1.2,0,6.05,0.18,114.52
"5","1980-1994","GEN",2.74,0.19,5.9,0.03,15.45,0,0.26,0.27,0.13,0,3.2,0.19,28.36
"6","1980-1994","GG",0,0,0,0,0.04,0,0,0,0,0,0,0,0.04
"7","1980-1994","NES",28.75,4.38,6.54,3.59,95.78,21,9.78,18.78,35.62,0,26.85,0,251.07
"8","1980-1994","NG",0,0,1.01,0,0,0,0,0,0,0,0,0,1.01
"9","1980-1994","PC",0,3.59,0.02,2.39,0,0,0,0,5.59,2.2,0,2.16,15.95
"10","1980-1994","PS",0,0.06,1.38,0,0,0,0.86,0.18,1.59,0.76,0.94,0.25,6.02
"11","1980-1994","SAT",0,0.06,1.4,0,0.09,0,0.8,0,0.51,0.36,0.42,0,3.64
"12","1980-1994","SCD",0,0,0,0.1,1.5,0,0.07,0.06,0,0,0,0.14,1.87
"13","1980-1994","SNES",9.73,1.45,23.09,3.47,50.15,4.27,12.45,21.05,5.85,5.08,11.09,2.76,150.44
"14","1995","3DO",0,0.06,0,0,0,0,0,0,0,0.02,0,0,0.08
"15","1995","GB",0,0,0,0.3,2.36,0.94,0,0,0,0,0,0,3.6
"16","1995","NG",0,0,0.31,0,0,0,0,0,0,0,0.02,0,0.33
"17","1995","PC",0,0,0,0.02,0,0,0,0,0,0,0,4.21,4.23
"18","1995","PS",2.81,0.27,6.45,4.31,4.28,0.37,4.46,3.21,1.95,3.34,3.65,0.82,35.92
"19","1995","SAT",0.41,0.2,4.4,0.91,0,0.05,1.49,1.08,2.13,0.27,0.37,0.27,11.58
"20","1995","SNES",0.35,0.05,3.69,0.86,10.05,1.35,0.14,9.97,0.05,0.55,3.94,1.21,32.21
"21","1995","TG16",0,0.14,0,0,0,0,0,0,0.02,0,0,0,0.16
"22","1996","GB",0,0,0,0,2.35,0.58,0,31.64,0,1.45,0,0,36.02
"23","1996","N64",2.91,0,1.78,0.18,11.89,0,14.55,0,0.19,1.28,1.33,0,34.11
"24","1996","NG",0,0,0.1,0,0,0,0,0,0,0,0,0,0.1
"25","1996","PC",1.03,0,0,0,0,0,0,1.59,0,5.12,0,2.85,10.59
"26","1996","PCFX",0,0,0,0,0,0,0,0.03,0,0,0,0,0.03
"27","1996","PS",16.64,2.17,14.32,9.76,8.61,2.64,12.68,4.7,5.7,3.04,13.03,1.39,94.68
"28","1996","SAT",0,2.02,1.69,0.05,0.43,0.23,0.11,0.59,0.85,0.44,0.66,0.62,7.69
"29","1996","SNES",0,0,0.17,0.69,4.95,0.46,0.9,5.41,0.17,0,2.43,0.75,15.93
"30","1997","GB",0,0,0,2.22,1.48,0.22,0,0.4,0,1.68,0,0.37,6.37
"31","1997","N64",2.54,0.15,3.08,0.47,5.25,1.87,7.66,0,13.08,0,5.41,0,39.51
"32","1997","PC",2.29,2.43,0,0,0,0,0.01,0,4.12,0,0,2.41,11.26
"33","1997","PS",22.51,1.88,8.03,2.76,14.58,2.78,24.24,19.53,4.51,7.97,23.58,3.71,136.08
"34","1997","SAT",0.24,0.5,0.65,0.24,0.18,0.72,0,1.86,0.46,0,0.7,1.22,6.77
"35","1997","SNES",0,0,0,0,0.36,0.3,0,0,0,0,0.33,0,0.99
"36","1998","DC",0.08,0.06,0.51,0,2.42,0,0.06,0,0.26,0,0,0,3.39
"37","1998","GB",0,2.22,0,0,0.38,1.93,0,16.99,0,0,0.07,5.31,26.9
"38","1998","N64",9.03,0,4.92,2.95,6.05,0.14,7.18,0.47,1.76,4,11.41,1.37,49.28
"39","1998","PC",1.03,0,0,0,0,0,0,0.03,0,0,0,2.2,3.26
"40","1998","PS",29.3,5.39,25.85,8.99,20.83,4.27,20.66,10.36,7.75,3.05,29.68,3.45,169.58
"41","1998","SAT",0,1.38,0.38,0,0.06,0,0,0.23,0.03,0.06,0.55,1.13,3.82
"42","1998","SNES",0,0,0,0,0.14,0,0,0,0,0,0.08,0,0.22
"43","1999","DC",0,1.28,0.54,0,0,0,0.58,0,0,0.52,2.25,0,5.17
"44","1999","GB",0.31,0,0,6.53,5.07,0,0,24.41,0,0.42,0.17,1.1,38.01
"45","1999","N64",5.06,0.3,9.79,5.44,8.17,0.29,7.96,0.66,3.52,4.34,6.43,6,57.96
"46","1999","PC",0.06,0.02,0,1.94,0,0,0,0,0,0,1.07,1.64,4.73
"47","1999","PS",22.34,6,3.93,6.74,7.58,1.07,28.73,23.56,8.73,6.16,20.28,9.45,144.57
"48","1999","SAT",0,0,0,0,0,0,0,0,0,0,0.09,0,0.09
"49","1999","SNES",0,0,0,0,0,0,0,0,0,0,0,0.26,0.26
"50","1999","WS",0,0,0,0,0,0,0,0.46,0,0,0,0,0.46
"51","2000","DC",1.14,0.35,0.61,0,0,0,1.94,0.49,0.05,0,1.41,0,5.99
"52","2000","GB",0.07,0.14,0,0.83,4.74,1.23,0,9.79,0,0,2.76,0.2,19.76
"53","2000","GBA",0,0,0,0,0,0,0,0,0,0,0.06,0,0.06
"54","2000","N64",9.74,0,2.51,2.15,4,0.69,2.74,1.8,0.72,0.26,6.44,2.96,34.01
"55","2000","PC",0,0,0,2.99,0,0,0,0.14,0,0.07,0,1.48,4.68
"56","2000","PS",19.7,2.34,9.22,9.53,6.94,0.76,7.85,13.15,4.21,0.78,20.03,1.79,96.3
"57","2000","PS2",3.39,0.15,7.88,0.04,0.38,1.14,7.46,3.15,1.83,2.27,9.5,1.92,39.11
"58","2000","WS",0,0,0,0,0,0,0,0.51,0,0,0,0.17,0.68
