"";"Plataforma";"Inici";"Fi";"Genere"
"1";"3DS";"2011";"2016";"Role-Playing"
"2";"DC";"1998";"2001";"Sports"
"3";"DS";"2004";"2013";"Platform"
"4";"GB";"1995";"2001";"Role-Playing"
"5";"GBA";"2001";"2007";"Role-Playing"
"6";"GC";"2001";"2006";"Action"
"7";"N64";"1996";"2001";"Sports"
"8";"PC";"1995";"2016";"Simulation"
"9";"PS";"1995";"2003";"Action"
"10";"PS2";"2000";"2010";"Sports"
"11";"PS3";"2006";"2016";"Action"
"12";"PS4";"2013";"2016";"Shooter"
"13";"PSP";"2004";"2013";"Role-Playing"
"14";"PSV";"2011";"2016";"Action"
"15";"SAT";"1995";"1998";"Adventure"
"16";"SNES";"1995";"1997";"Platform"
"17";"Wii";"2006";"2015";"Misc"
"18";"WiiU";"2012";"2016";"Platform"
"19";"X360";"2005";"2016";"Shooter"
"20";"XB";"2000";"2007";"Sports"
"21";"XOne";"2013";"2016";"Shooter"
